control_wpid,control_userid,register_date,timestamp,ns,title,size,sizediff
25017621,25017621,2015-04-30,,,,0,0
25008635,25008635,2015-04-30,,,,0,0
25007316,25007316,2015-04-30,,,,0,0
25018485,25018485,2015-04-30,,,,0,0
25011665,25011665,2015-04-30,,,,0,0
25011037,25011037,2015-04-30,2015-04-30T07:53:05Z,2,User:Sahiltalla,514,514
25011037,25011037,2015-04-30,2015-04-30T07:54:04Z,2,User:Sahiltalla,526,12
25011037,25011037,2015-04-30,2015-04-30T07:55:40Z,2,User:Sahiltalla,555,29
25011037,25011037,2015-04-30,2015-04-30T08:00:22Z,2,User:Sahiltalla,633,78
25019042,25019042,2015-04-30,,,,0,0
25009409,25009409,2015-04-30,2015-04-30T04:49:23Z,0,Asansol Engineering College,8570,-15
25009409,25009409,2015-04-30,2015-04-30T04:51:01Z,0,Asansol Engineering College,8572,2
25008626,25008626,2015-04-30,,,,0,0
25015230,25015230,2015-04-30,,,,0,0
25022263,25022263,2015-04-30,2015-04-30T23:29:03Z,2,User:ChristoCoder,0,0
25022263,25022263,2015-04-30,2015-04-30T23:41:57Z,2,User:ChristoCoder,15,15
25022263,25022263,2015-04-30,2015-04-30T23:45:55Z,2,User:ChristoCoder,31,16
25022263,25022263,2015-04-30,2015-04-30T23:46:39Z,2,User:ChristoCoder,73,42
25015938,25015938,2015-04-30,,,,0,0
25007743,25007743,2015-04-30,,,,0,0
25015513,25015513,2015-04-30,,,,0,0
25007690,25007690,2015-04-30,,,,0,0
25015643,25015643,2015-04-30,,,,0,0
25008296,25008296,2015-04-30,,,,0,0
25016341,25016341,2015-04-30,,,,0,0
25018750,25018750,2015-04-30,2015-04-30T18:01:14Z,3,User talk:Persianmamba123,75,75
25018750,25018750,2015-04-30,2015-04-30T18:05:52Z,0,Afro-Iranians,3889,35
25018750,25018750,2015-04-30,2015-04-30T18:48:08Z,0,Iranian Americans,46716,54
25018750,25018750,2015-04-30,2015-04-30T18:51:14Z,0,Iranian Americans,46723,61
25018750,25018750,2015-04-30,2015-05-04T03:49:17Z,0,ASAP Ferg,11290,8
25007134,25007134,2015-04-30,2015-04-30T00:25:43Z,0,VÃ¤sterbotten,7060,0
25181269,25181269,2015-05-14,,,,0,0
25173310,25173310,2015-05-14,,,,0,0
25007449,25007449,2015-04-30,,,,0,0
25088369,25088369,2015-05-06,,,,0,0
25172957,25172957,2015-05-14,,,,0,0
24807851,24807851,2015-04-17,,,,0,0
24776692,24776692,2015-04-15,,,,0,0
25178597,25178597,2015-05-14,2015-05-14T15:11:18Z,1,Talk:Shell Oil Company,6525,162
25181446,25181446,2015-05-14,,,,0,0
25175716,25175716,2015-05-14,,,,0,0
25176979,25176979,2015-05-14,,,,0,0
25176891,25176891,2015-05-14,,,,0,0
25177184,25177184,2015-05-14,,,,0,0
25181310,25181310,2015-05-14,,,,0,0
25178681,25178681,2015-05-14,,,,0,0
25180778,25180778,2015-05-14,2015-05-14T19:04:21Z,0,Peanuts,79253,13
25181804,25181804,2015-05-14,2015-05-14T21:10:24Z,0,The Mend (film),9502,1
25178944,25178944,2015-05-14,,,,0,0
25177811,25177811,2015-05-14,,,,0,0
25174604,25174604,2015-05-14,,,,0,0
25181392,25181392,2015-05-14,,,,0,0
25182469,25182469,2015-05-14,,,,0,0
25182433,25182433,2015-05-14,,,,0,0
25641057,25641057,2015-06-30,,,,0,0
24563811,24563811,2015-03-27,,,,0,0
24852211,24852211,2015-04-20,,,,0,0
23951098,23951098,2015-01-30,,,,0,0
25244204,25244204,2015-05-20,2015-05-20T20:14:56Z,0,K.A.A. Gent,26655,1
25244204,25244204,2015-05-20,2015-05-20T20:17:56Z,0,K.A.A. Gent,26654,-1
25244204,25244204,2015-05-20,2015-05-21T00:13:33Z,0,K.A.A. Gent,26654,0
25244204,25244204,2015-05-20,2015-05-21T23:33:24Z,0,2015 Arena Football League season,4705,0
25180233,25180233,2015-05-14,,,,0,0
24979622,24979622,2015-04-28,,,,0,0
25176110,25176110,2015-05-14,,,,0,0
25466502,25466502,2015-06-12,2015-06-12T03:48:05Z,0,Trinity,73884,1605
25466502,25466502,2015-06-12,2015-06-12T03:49:15Z,0,Trinity,73878,-6
25466502,25466502,2015-06-12,2015-06-12T03:51:20Z,0,Trinity,73882,4
25466502,25466502,2015-06-12,2015-06-12T04:03:28Z,0,Trinity,73869,-13
25466502,25466502,2015-06-12,2015-06-12T05:56:33Z,0,Trinity,77475,5196
25178412,25178412,2015-05-14,,,,0,0
25173501,25173501,2015-05-14,,,,0,0
24564840,24564840,2015-03-27,,,,0,0
24563848,24563848,2015-03-27,,,,0,0
24558930,24558930,2015-03-27,,,,0,0
24558484,24558484,2015-03-27,,,,0,0
24561417,24561417,2015-03-27,,,,0,0
24557658,24557658,2015-03-27,2015-05-12T14:45:50Z,3,User talk:Kristina Applegate,74,74
24557658,24557658,2015-03-27,2015-05-12T14:46:39Z,2,User:Kristina Applegate/sandbox,78,78
24557658,24557658,2015-03-27,2015-05-15T13:06:02Z,3,User talk:Kristina Applegate,4589,424
24557658,24557658,2015-03-27,2015-05-15T15:01:16Z,3,User talk:Kristina Applegate,5945,474
24557658,24557658,2015-03-27,2015-06-08T19:01:34Z,3,User talk:Shawn in Montreal,51590,533
24557606,24557606,2015-03-27,,,,0,0
24559659,24559659,2015-03-27,,,,0,0
24563226,24563226,2015-03-27,,,,0,0
24562640,24562640,2015-03-27,,,,0,0
25093794,25093794,2015-05-06,,,,0,0
24558304,24558304,2015-03-27,,,,0,0
25089419,25089419,2015-05-06,,,,0,0
24557870,24557870,2015-03-27,,,,0,0
24564568,24564568,2015-03-27,,,,0,0
24564561,24564561,2015-03-27,,,,0,0
24562177,24562177,2015-03-27,,,,0,0
24562833,24562833,2015-03-27,,,,0,0
24565862,24565862,2015-03-27,,,,0,0
24557834,24557834,2015-03-27,,,,0,0
24562892,24562892,2015-03-27,,,,0,0
24565814,24565814,2015-03-27,,,,0,0
24565167,24565167,2015-03-27,2015-03-27T21:15:52Z,0,Court Moor School,12786,-12
24565167,24565167,2015-03-27,2015-03-27T21:18:24Z,0,Court Moor School,12893,24
24565167,24565167,2015-03-27,2015-03-27T21:22:13Z,0,Court Moor School,12834,9
24557986,24557986,2015-03-27,,,,0,0
24559739,24559739,2015-03-27,,,,0,0
24562869,24562869,2015-03-27,,,,0,0
24561659,24561659,2015-03-27,,,,0,0
24559235,24559235,2015-03-27,,,,0,0
24561649,24561649,2015-03-27,,,,0,0
24558235,24558235,2015-03-27,,,,0,0
25038344,25038344,2015-05-02,,,,0,0
25041968,25041968,2015-05-02,,,,0,0
25041950,25041950,2015-05-02,,,,0,0
25042697,25042697,2015-05-02,,,,0,0
25037179,25037179,2015-05-02,,,,0,0
25045255,25045255,2015-05-02,,,,0,0
25038834,25038834,2015-05-02,,,,0,0
25047794,25047794,2015-05-02,2015-05-21T03:23:56Z,0,World War II reparations,8597,13
25047794,25047794,2015-05-02,2015-05-21T03:24:32Z,0,World War II reparations,8598,14
25047794,25047794,2015-05-02,2015-05-21T03:30:41Z,0,Uncle Sam,9337,35
25047794,25047794,2015-05-02,2015-05-21T03:34:04Z,0,Beta,6960,0
25041928,25041928,2015-05-02,,,,0,0
25047279,25047279,2015-05-02,2015-05-02T21:21:06Z,1,Talk:Nepal,6049,72
25043855,25043855,2015-05-02,,,,0,0
25038357,25038357,2015-05-02,,,,0,0
25041882,25041882,2015-05-02,2017-01-22T05:20:12Z,0,"Nawabganj, Bareilly",28270,24
25041882,25041882,2015-05-02,2017-02-11T14:34:05Z,0,"Nawabganj, Bareilly",28337,67
25041882,25041882,2015-05-02,2017-02-11T14:35:55Z,0,"Nawabganj, Bareilly",28337,0
25041882,25041882,2015-05-02,2017-02-11T14:37:12Z,0,"Nawabganj, Bareilly",28366,29
25041882,25041882,2015-05-02,2017-03-17T15:10:12Z,0,"Nawabganj, Bareilly",28369,3
25041882,25041882,2015-05-02,2017-04-29T05:20:06Z,0,"Nawabganj, Bareilly",28166,16
25041882,25041882,2015-05-02,2017-04-29T05:21:25Z,0,"Nawabganj, Bareilly",28170,4
25042796,25042796,2015-05-02,,,,0,0
25039819,25039819,2015-05-02,2015-05-02T07:39:43Z,0,Bibliotheca Corviniana,3104,23
25039819,25039819,2015-05-02,2015-05-02T07:41:48Z,0,Matthias Corvinus,87384,213
25039819,25039819,2015-05-02,2015-05-02T10:39:17Z,0,Matthias Corvinus,87384,213
25039819,25039819,2015-05-02,2015-05-02T11:12:48Z,1,Talk:Matthias Corvinus,4786,697
25039819,25039819,2015-05-02,2015-05-02T11:26:35Z,1,Talk:Matthias Corvinus,6593,1167
25039819,25039819,2015-05-02,2015-05-02T11:47:33Z,1,Talk:Matthias Corvinus,6842,249
25039281,25039281,2015-05-02,,,,0,0
25643433,25643433,2015-06-30,2015-06-30T08:53:17Z,0,Manaia Cherrington,4827,157
25643433,25643433,2015-06-30,2015-07-14T10:39:32Z,3,User talk:Josh the newcastle fan,4727,349
25643433,25643433,2015-06-30,2015-07-14T10:45:27Z,2,User:TheBoyFromTheWest,146,146
25643433,25643433,2015-06-30,2015-08-01T09:12:44Z,0,2016 NRL Auckland Nines,19,19
25643433,25643433,2015-06-30,2015-10-10T10:41:27Z,0,Peter Nevill,4990,-5
25644293,25644293,2015-06-30,,,,0,0
25649790,25649790,2015-06-30,,,,0,0
25643816,25643816,2015-06-30,2015-06-30T09:54:20Z,0,Mohammad Musa Shafiq,2861,18
25649626,25649626,2015-06-30,,,,0,0
25644902,25644902,2015-06-30,,,,0,0
25646606,25646606,2015-06-30,,,,0,0
25642387,25642387,2015-06-30,,,,0,0
